"Story","Title","Result","Date","Stability","Duration (s)"
"Create an user on Reqres.in","Creation User","SUCCESS","2023-11-11T17:39:09.2220501-05:00[America/Bogota]","0.0","3.65"
"Get an user on Reqres.in","Get an user","SUCCESS","2023-11-11T17:39:13.056335-05:00[America/Bogota]","0.0","0.35"
